"INSEE";"DEPT";"NUMCANTON"
"01312";"01";"33"
"01313";"01";"13"
"01314";"01";"25"
"01316";"01";"36"
"01317";"01";"07"
"01318";"01";"42"
"01319";"01";"30"
"01320";"01";"02"
"01321";"01";"07"
"01322";"01";"42"
"01323";"01";"26"
"01325";"01";"19"
"01328";"01";"10"
"01329";"01";"36"
"01330";"01";"09"
"01331";"01";"24"
"01332";"01";"02"
"01333";"01";"42"
"01334";"01";"27"
"01335";"01";"10"
"01336";"01";"39"
"01337";"01";"26"
"01338";"01";"18"
"01339";"01";"34"
"01340";"01";"04"
"01341";"01";"04"
"01342";"01";"20"
"01343";"01";"27"
"01344";"01";"43"
"01345";"01";"01"
"01346";"01";"21"
"01347";"01";"34"
"01348";"01";"32"
"01349";"01";"19"
"01350";"01";"33"
"01351";"01";"32"
"01352";"01";"26"
"01353";"01";"42"
"01354";"01";"13"
"01355";"01";"27"
"01356";"01";"10"
"01357";"01";"03"
"01358";"01";"04"
"01359";"01";"35"
"01360";"01";"12"
"01361";"01";"19"
"01362";"01";"42"
"01363";"01";"24"
"01364";"01";"29"
"01365";"01";"27"
"01366";"01";"17"
"01367";"01";"29"
"01368";"01";"10"
"01369";"01";"39"
"01370";"01";"02"
"01371";"01";"35"
"01372";"01";"36"
"01373";"01";"22"
"01374";"01";"25"
"01375";"01";"21"
"01376";"01";"40"
"01378";"01";"19"
"01379";"01";"01"
"01380";"01";"29"
"01381";"01";"08"
"01382";"01";"30"
"01383";"01";"35"
"01384";"01";"28"
"01385";"01";"39"
"01386";"01";"17"
"01387";"01";"21"
"01388";"01";"29"
"01389";"01";"30"
"01390";"01";"17"
"01391";"01";"11"
"01392";"01";"16"
"01393";"01";"10"
"01396";"01";"17"
"01397";"01";"13"
"01398";"01";"30"
"01399";"01";"14"
"01400";"01";"18"
"01401";"01";"13"
"01402";"01";"26"
"01403";"01";"18"
"01404";"01";"16"
"01405";"01";"39"
"01406";"01";"29"
"01407";"01";"31"
"01408";"01";"07"
"01409";"01";"09"
"01410";"01";"16"
"01411";"01";"17"
"01412";"01";"10"
"01413";"01";"03"
"01414";"01";"09"
"01415";"01";"09"
"01416";"01";"28"
"01417";"01";"15"
"01418";"01";"40"
"01419";"01";"13"
"01420";"01";"32"
"01421";"01";"28"
"01422";"01";"25"
"01423";"01";"42"
"01424";"01";"42"
"01425";"01";"25"
"01426";"01";"33"
"01427";"01";"34"
"01428";"01";"32"
"01429";"01";"43"
"01430";"01";"25"
"01431";"01";"17"
"01432";"01";"11"
"01433";"01";"29"
"01434";"01";"08"
"01435";"01";"13"
"01436";"01";"14"
"01437";"01";"29"
"01439";"01";"02"
"01441";"01";"06"
"01442";"01";"09"
"01443";"01";"35"
"01444";"01";"17"
"01445";"01";"11"
"01446";"01";"30"
"01447";"01";"07"
"01448";"01";"03"
"01449";"01";"08"
"01450";"01";"19"
"01451";"01";"43"
"01452";"01";"36"
"01453";"01";"09"
"01454";"01";"04"
"01456";"01";"36"
"01457";"01";"10"
"02001";"02";"09"
"02002";"02";"14"
"02003";"02";"04"
"02004";"02";"19"
"02005";"02";"21"
"02006";"02";"16"
"02007";"02";"12"
"02008";"02";"32"
"02009";"02";"20"
"02010";"02";"32"
"02011";"02";"35"
"02012";"02";"24"
"02013";"02";"21"
"02014";"02";"09"
"02015";"02";"36"
"02016";"02";"14"
"02017";"02";"14"
"02018";"02";"01"
"02019";"02";"29"
"02020";"02";"02"
"02021";"02";"26"
"02022";"02";"24"
"02023";"02";"22"
"02024";"02";"38"
"02025";"02";"29"
"02026";"02";"10"
"02027";"02";"13"
"02028";"02";"38"
"02029";"02";"33"
"02030";"02";"06"
"02031";"02";"02"
"02032";"02";"29"
"02033";"02";"12"
"02034";"02";"11"
"02035";"02";"16"
"02036";"02";"04"
"02037";"02";"18"
"02038";"02";"26"
"02039";"02";"19"
"02040";"02";"34"
"02041";"02";"09"
"02042";"02";"08"
"02043";"02";"35"
"02044";"02";"34"
"02046";"02";"13"
"02047";"02";"13"
"02048";"02";"13"
"02049";"02";"11"
"02050";"02";"23"
"02051";"02";"10"
