01016;001-01;bad
01024;001-01;bad
01029;001-01;bad
01038;001-01;bad
01040;001-01;bad
01050;001-01;bad
01057;001-01;bad
01065;001-01;bad
01069;001-01;bad
01072;001-01;bad
01094;001-01;bad
01095;001-01;bad
01102;001-01;bad
01106;001-01;bad
01108;001-01;bad
01115;001-01;bad
01124;001-01;bad
01125;001-01;bad
01127;001-01;bad
01128;001-01;bad
01130;001-01;bad
01139;001-01;bad
01140;001-01;bad
01145;001-01;bad
01147;001-01;bad
01150;001-01;bad
01151;001-01;bad
01154;001-01;bad
01163;001-01;bad
01172;001-01;bad
01175;001-01;bad
01177;001-01;bad
01184;001-01;bad
01195;001-01;bad
01196;001-01;bad
01197;001-01;bad
01212;001-01;bad
01229;001-01;bad
01230;001-01;bad
01232;001-01;bad
01236;001-01;bad
01241;001-01;bad
01245;001-01;bad
01259;001-01;bad
01266;001-01;bad
01273;001-01;bad
01284;001-01;bad
01296;001-01;bad
01301;001-01;bad
01304;001-01;bad
01305;001-01;bad
01309;001-01;bad
01312;001-01;bad
01314;001-01;bad
01317;001-01;bad
01321;001-01;bad
01323;001-01;bad
01337;001-01;bad
01344;001-01;bad
01346;001-01;bad
01350;001-01;bad
01352;001-01;bad
01364;001-01;bad
01367;001-01;bad
01374;001-01;bad
01375;001-01;bad
01380;001-01;bad
01387;001-01;bad
01388;001-01;bad
01391;001-01;bad
01402;001-01;bad
01406;001-01;bad
01408;001-01;bad
01422;001-01;bad
01425;001-01;bad
01426;001-01;bad
01429;001-01;bad
01430;001-01;bad
01432;001-01;bad
01433;001-01;bad
01437;001-01;bad
01445;001-01;bad
01447;001-01;bad
01451;001-01;bad
01001;001-04;bad
01005;001-04;bad
01023;001-04;bad
01025;001-04;bad
01026;001-04;bad
01028;001-04;bad
01042;001-04;bad
01045;001-04;bad
01046;001-04;bad
01052;001-04;bad
01074;001-04;bad
01075;001-04;bad
01083;001-04;bad
01084;001-04;bad
01085;001-04;bad
01090;001-04;bad
01092;001-04;bad
01093;001-04;bad
01096;001-04;bad
01113;001-04;bad
01123;001-04;bad
01129;001-04;bad
01134;001-04;bad
01136;001-04;bad
01144;001-04;bad
01146;001-04;bad
01157;001-04;bad
01159;001-04;bad
01165;001-04;bad
01167;001-04;bad
01169;001-04;bad
01179;001-04;bad
01183;001-04;bad
01188;001-04;bad
01203;001-04;bad
01207;001-04;bad
01211;001-04;bad
01225;001-04;bad
01231;001-04;bad
01235;001-04;bad
01243;001-04;bad
01246;001-04;bad
01252;001-04;bad
01254;001-04;bad
01258;001-04;bad
01261;001-04;bad
01263;001-04;bad
01264;001-04;bad
01272;001-04;bad
01289;001-04;bad
01291;001-04;bad
01295;001-04;bad
01299;001-04;bad
01306;001-04;bad
01319;001-04;bad
01320;001-04;bad
01328;001-04;bad
01332;001-04;bad
01334;001-04;bad
01335;001-04;bad
01336;001-04;bad
01343;001-04;bad
01348;001-04;bad
01351;001-04;bad
01355;001-04;bad
01356;001-04;bad
01359;001-04;bad
01365;001-04;bad
01368;001-04;bad
01369;001-04;bad
01370;001-04;bad
01371;001-04;bad
01381;001-04;bad
01382;001-04;bad
01383;001-04;bad
01385;001-04;bad
01389;001-04;bad
01393;001-04;bad
01398;001-04;bad
01405;001-04;bad
01412;001-04;bad
01420;001-04;bad
01428;001-04;bad
01434;001-04;bad
01439;001-04;bad
01443;001-04;bad
01446;001-04;bad
01449;001-04;bad
01457;001-04;bad
06001;006-02;bad
06002;006-02;bad
06003;006-02;bad
06005;006-02;bad
06008;006-02;bad
06009;006-02;bad
06016;006-02;bad
06017;006-02;bad
06021;006-02;bad
06022;006-02;bad
06024;006-02;bad
06025;006-02;bad
06026;006-02;bad
06028;006-02;bad
06033;006-02;bad
06040;006-02;bad
06041;006-02;bad
06045;006-02;bad
06047;006-02;bad
06050;006-02;bad
06051;006-02;bad
06052;006-02;bad
06053;006-02;bad
06056;006-02;bad
06058;006-02;bad
06061;006-02;bad
06063;006-02;bad
06064;006-02;bad
06065;006-02;bad
06066;006-02;bad
06070;006-02;bad
06071;006-02;bad
06076;006-02;bad
06078;006-02;bad
06081;006-02;bad
06082;006-02;bad
06087;006-02;bad
06093;006-02;bad
06094;006-02;bad
06095;006-02;bad
06096;006-02;bad
06097;006-02;bad
06098;006-02;bad
06099;006-02;bad
06100;006-02;bad
06101;006-02;bad
06106;006-02;bad
06107;006-02;bad
06115;006-02;bad
06116;006-02;bad
06118;006-02;bad
06122;006-02;bad
06124;006-02;bad
06125;006-02;bad
06130;006-02;bad
06131;006-02;bad
06133;006-02;bad
06134;006-02;bad
06135;006-02;bad
06137;006-02;bad
06139;006-02;bad
06140;006-02;bad
06141;006-02;bad
06143;006-02;bad
06144;006-02;bad
06145;006-02;bad
06146;006-02;bad
06154;006-02;bad
06157;006-02;bad
06158;006-02;bad
06160;006-02;bad
06060;006-03;bad
06114;006-03;bad
06149;006-03;bad
06006;006-05;bad
06013;006-05;bad
06020;006-05;bad
06034;006-05;bad
06042;006-05;bad
06046;006-05;bad
06055;006-05;bad
06072;006-05;bad
06073;006-05;bad
06074;006-05;bad
06075;006-05;bad
06080;006-05;bad
06102;006-05;bad
06103;006-05;bad
06109;006-05;bad
06110;006-05;bad
06111;006-05;bad
06117;006-05;bad
06119;006-05;bad
06120;006-05;bad
06126;006-05;bad
06127;006-05;bad
06129;006-05;bad
06147;006-05;bad
06151;006-05;bad
06153;006-05;bad
06156;006-05;bad
06004;006-07;bad
06010;006-07;bad
06018;006-07;bad
06037;006-07;bad
06038;006-07;bad
06049;006-07;bad
06068;006-07;bad
06089;006-07;bad
06105;006-07;bad
06112;006-07;bad
06148;006-07;bad
06152;006-07;bad
06029;006-08;bad
06079;006-08;bad
06138;006-08;bad
06007;006-09;bad
06030;006-09;bad
06084;006-09;bad
06085;006-09;bad
06090;006-09;bad
06108;006-09;bad
08001;008-01;bad
08003;008-01;bad
08004;008-01;bad
08005;008-01;bad
08008;008-01;bad
08010;008-01;bad
08014;008-01;bad
08015;008-01;bad
08016;008-01;bad
08021;008-01;bad
08024;008-01;bad
08026;008-01;bad
08027;008-01;bad
08030;008-01;bad
08032;008-01;bad
08037;008-01;bad
08038;008-01;bad
08039;008-01;bad
08040;008-01;bad
08041;008-01;bad
08042;008-01;bad
08044;008-01;bad
08046;008-01;bad
08047;008-01;bad
08048;008-01;bad
08060;008-01;bad
08062;008-01;bad
08064;008-01;bad
08066;008-01;bad
08069;008-01;bad
08070;008-01;bad
08073;008-01;bad
08076;008-01;bad
08079;008-01;bad
08080;008-01;bad
08084;008-01;bad
08087;008-01;bad
08094;008-01;bad
08095;008-01;bad
08096;008-01;bad
08099;008-01;bad
08100;008-01;bad
08102;008-01;bad
08107;008-01;bad
08111;008-01;bad
08113;008-01;bad
08117;008-01;bad
08124;008-01;bad
08126;008-01;bad
08132;008-01;bad
08133;008-01;bad
08140;008-01;bad
08141;008-01;bad
08143;008-01;bad
08144;008-01;bad
08146;008-01;bad
08148;008-01;bad
08149;008-01;bad
08150;008-01;bad
08152;008-01;bad
08154;008-01;bad
08156;008-01;bad
08158;008-01;bad
08163;008-01;bad
08165;008-01;bad
08167;008-01;bad
08169;008-01;bad
08172;008-01;bad
08173;008-01;bad
08178;008-01;bad
08180;008-01;bad
08182;008-01;bad
08187;008-01;bad
08189;008-01;bad
08192;008-01;bad
08195;008-01;bad
08196;008-01;bad
08199;008-01;bad
08201;008-01;bad
08203;008-01;bad
08205;008-01;bad
08208;008-01;bad
08209;008-01;bad
08210;008-01;bad
08219;008-01;bad
08225;008-01;bad
08228;008-01;bad
08229;008-01;bad
08234;008-01;bad
08235;008-01;bad
08236;008-01;bad
08239;008-01;bad
08240;008-01;bad
08243;008-01;bad
08248;008-01;bad
08251;008-01;bad
08254;008-01;bad
08257;008-01;bad
08262;008-01;bad
08263;008-01;bad
08272;008-01;bad
08273;008-01;bad
08277;008-01;bad
08283;008-01;bad
08286;008-01;bad
08287;008-01;bad
08288;008-01;bad
08295;008-01;bad
08298;008-01;bad
08305;008-01;bad
08306;008-01;bad
08307;008-01;bad
08313;008-01;bad
08314;008-01;bad
08315;008-01;bad
08318;008-01;bad
08319;008-01;bad
08320;008-01;bad
08323;008-01;bad
08324;008-01;bad
08327;008-01;bad
08329;008-01;bad
08330;008-01;bad
08334;008-01;bad
08335;008-01;bad
08339;008-01;bad
08340;008-01;bad
08341;008-01;bad
08344;008-01;bad
08348;008-01;bad
08352;008-01;bad
08356;008-01;bad
08360;008-01;bad
08362;008-01;bad
08366;008-01;bad
08368;008-01;bad
08369;008-01;bad
08370;008-01;bad
08372;008-01;bad
08373;008-01;bad
08380;008-01;bad
08381;008-01;bad
08382;008-01;bad
08385;008-01;bad
08386;008-01;bad
08388;008-01;bad
08395;008-01;bad
08396;008-01;bad
08397;008-01;bad
08400;008-01;bad
08402;008-01;bad
08403;008-01;bad
08404;008-01;bad
08413;008-01;bad
08415;008-01;bad
08416;008-01;bad
08418;008-01;bad
08419;008-01;bad
08420;008-01;bad
08422;008-01;bad
08426;008-01;bad
08427;008-01;bad
08428;008-01;bad
08435;008-01;bad
08438;008-01;bad
