"com_insee";"circo";"status"
"02002";"002-01";"good"
"02005";"002-01";"good"
"02007";"002-01";"good"
"02013";"002-01";"good"
"02016";"002-01";"good"
"02017";"002-01";"good"
"02018";"002-01";"good"
"02021";"002-01";"good"
"02024";"002-01";"good"
"02027";"002-01";"good"
"02028";"002-01";"good"
"02033";"002-01";"good"
"02037";"002-01";"good"
"02038";"002-01";"good"
"02046";"002-01";"good"
"02047";"002-01";"good"
"02048";"002-01";"good"
"02052";"002-01";"good"
"02058";"002-01";"good"
"02069";"002-01";"good"
"02072";"002-01";"good"
"02073";"002-01";"good"
"02074";"002-01";"good"
"02076";"002-01";"good"
"02080";"002-01";"good"
"02088";"002-01";"good"
"02096";"002-01";"good"
"02097";"002-01";"good"
"02102";"002-01";"good"
"02104";"002-01";"good"
"02106";"002-01";"good"
"02108";"002-01";"good"
"02111";"002-01";"good"
"02115";"002-01";"good"
"02122";"002-01";"good"
"02126";"002-01";"good"
"02128";"002-01";"good"
"02132";"002-01";"good"
"02133";"002-01";"good"
"02150";"002-01";"good"
"02151";"002-01";"good"
"02153";"002-01";"good"
"02155";"002-01";"good"
"02156";"002-01";"good"
"02157";"002-01";"good"
"02158";"002-01";"good"
"02160";"002-01";"good"
"02165";"002-01";"good"
"02171";"002-01";"good"
"02177";"002-01";"good"
"02178";"002-01";"good"
"02180";"002-01";"good"
"02181";"002-01";"good"
"02183";"002-01";"good"
"02189";"002-01";"good"
"02191";"002-01";"good"
"02196";"002-01";"good"
"02200";"002-01";"good"
"02205";"002-01";"good"
"02208";"002-01";"good"
"02211";"002-01";"good"
"02215";"002-01";"good"
"02218";"002-01";"good"
"02222";"002-01";"good"
"02229";"002-01";"good"
"02231";"002-01";"good"
"02234";"002-01";"good"
"02235";"002-01";"good"
"02237";"002-01";"good"
"02238";"002-01";"good"
"02250";"002-01";"good"
"02251";"002-01";"good"
"02252";"002-01";"good"
"02256";"002-01";"good"
"02260";"002-01";"good"
"02261";"002-01";"good"
"02262";"002-01";"good"
"02264";"002-01";"good"
"02265";"002-01";"good"
"02266";"002-01";"good"
"02274";"002-01";"good"
"02282";"002-01";"good"
"02294";"002-01";"good"
"02299";"002-01";"good"
"02301";"002-01";"good"
"02304";"002-01";"good"
"02309";"002-01";"good"
"02329";"002-01";"good"
"02335";"002-01";"good"
"02344";"002-01";"good"
"02346";"002-01";"good"
"02349";"002-01";"good"
"02350";"002-01";"good"
"02354";"002-01";"good"
"02360";"002-01";"good"
"02364";"002-01";"good"
"02396";"002-01";"good"
"02399";"002-01";"good"
"02407";"002-01";"good"
"02408";"002-01";"good"
"02409";"002-01";"good"
"02413";"002-01";"good"
"02429";"002-01";"good"
"02430";"002-01";"good"
"02433";"002-01";"good"
"02434";"002-01";"good"
"02440";"002-01";"good"
"02448";"002-01";"good"
"02453";"002-01";"good"
"02454";"002-01";"good"
"02457";"002-01";"good"
"02471";"002-01";"good"
"02472";"002-01";"good"
"02473";"002-01";"good"
"02475";"002-01";"good"
"02478";"002-01";"good"
"02480";"002-01";"good"
"02482";"002-01";"good"
"02486";"002-01";"good"
"02489";"002-01";"good"
"02490";"002-01";"good"
"02492";"002-01";"good"
"02497";"002-01";"good"
"02498";"002-01";"good"
"02499";"002-01";"good"
"02501";"002-01";"good"
"02502";"002-01";"good"
"02508";"002-01";"good"
"02517";"002-01";"good"
"02519";"002-01";"good"
"02526";"002-01";"good"
"02529";"002-01";"good"
"02530";"002-01";"good"
"02531";"002-01";"good"
"02534";"002-01";"good"
"02541";"002-01";"good"
"02550";"002-01";"good"
"02553";"002-01";"good"
"02556";"002-01";"good"
"02559";"002-01";"good"
"02560";"002-01";"good"
"02561";"002-01";"good"
"02565";"002-01";"good"
"02572";"002-01";"good"
"02573";"002-01";"good"
"02578";"002-01";"good"
"02582";"002-01";"good"
"02583";"002-01";"good"
"02586";"002-01";"good"
"02587";"002-01";"good"
"02588";"002-01";"good"
"02591";"002-01";"good"
"02601";"002-01";"good"
"02602";"002-01";"good"
"02609";"002-01";"good"
"02613";"002-01";"good"
"02617";"002-01";"good"
"02619";"002-01";"good"
"02621";"002-01";"good"
"02626";"002-01";"good"
"02627";"002-01";"good"
"02634";"002-01";"good"
"02638";"002-01";"good"
"02641";"002-01";"good"
"02642";"002-01";"good"
"02651";"002-01";"good"
"02656";"002-01";"good"
"02660";"002-01";"good"
"02661";"002-01";"good"
"02666";"002-01";"good"
"02675";"002-01";"good"
"02676";"002-01";"good"
"02678";"002-01";"good"
"02680";"002-01";"good"
"02685";"002-01";"good"
"02690";"002-01";"good"
"02696";"002-01";"good"
"02697";"002-01";"good"
"02705";"002-01";"good"
"02716";"002-01";"good"
"02720";"002-01";"good"
"02723";"002-01";"good"
"02733";"002-01";"good"
"02743";"002-01";"good"
"02746";"002-01";"good"
"02751";"002-01";"good"
"02755";"002-01";"good"
"02761";"002-01";"good"
"02764";"002-01";"good"
"02765";"002-01";"good"
"02768";"002-01";"good"
"02778";"002-01";"good"
"02787";"002-01";"good"
"02788";"002-01";"good"
"02791";"002-01";"good"
"02801";"002-01";"good"
"02802";"002-01";"good"
"02803";"002-01";"good"
"02819";"002-01";"good"
"02821";"002-01";"good"
"02824";"002-01";"good"
"02834";"002-01";"good"
"02009";"002-02";"good"
"02019";"002-02";"good"
"02025";"002-02";"good"
"02029";"002-02";"good"
"02030";"002-02";"good"
"02032";"002-02";"good"
"02057";"002-02";"good"
"02060";"002-02";"good"
"02063";"002-02";"good"
"02065";"002-02";"good"
"02066";"002-02";"good"
"02075";"002-02";"good"
"02100";"002-02";"good"
"02117";"002-02";"good"
"02123";"002-02";"good"
"02124";"002-02";"good"
"02142";"002-02";"good"
"02143";"002-02";"good"
"02144";"002-02";"good"
"02149";"002-02";"good"
"02170";"002-02";"good"
"02199";"002-02";"good"
"02214";"002-02";"good"
"02246";"002-02";"good"
"02257";"002-02";"good"
"02270";"002-02";"good"
"02273";"002-02";"good"
"02287";"002-02";"good"
"02288";"002-02";"good"
"02291";"002-02";"good"
"02296";"002-02";"good"
"02303";"002-02";"good"
"02310";"002-02";"good"
"02315";"002-02";"good"
"02317";"002-02";"good"
"02319";"002-02";"good"
"02320";"002-02";"good"
"02322";"002-02";"good"
"02327";"002-02";"good"
"02330";"002-02";"good"
"02340";"002-02";"good"
"02343";"002-02";"good"
"02345";"002-02";"good"
"02352";"002-02";"good"
"02355";"002-02";"good"
"02359";"002-02";"good"
"02367";"002-02";"good"
"02370";"002-02";"good"
"02371";"002-02";"good"
"02374";"002-02";"good"
"02380";"002-02";"good"
"02382";"002-02";"good"
"02383";"002-02";"good"
"02387";"002-02";"good"
"02390";"002-02";"good"
"02392";"002-02";"good"
"02397";"002-02";"good"
"02402";"002-02";"good"
"02417";"002-02";"good"
"02420";"002-02";"good"
"02426";"002-02";"good"
"02446";"002-02";"good"
"02451";"002-02";"good"
"02452";"002-02";"good"
"02459";"002-02";"good"
"02481";"002-02";"good"
"02483";"002-02";"good"
"02504";"002-02";"good"
"02525";"002-02";"good"
"02532";"002-02";"good"
"02539";"002-02";"good"
"02549";"002-02";"good"
"02570";"002-02";"good"
"02571";"002-02";"good"
