010-02;10003,10009,10013,10018,10022,10024,10025,10028,10029,10034,10037,10040,10042,10049,10051,10053,10055,10058,10060,10062,10066,10067,10068,10070,10074,10079,10080,10083,10087,10092,10096,10098,10099,10100,10104,10107,10108,10109,10110,10111,10112,10116,10118,10120,10122,10133,10140,10142,10143,10147,10156,10158,10159,10162,10168,10170,10173,10177,10179,10181,10185,10186,10188,10190,10196,10198,10201,10202,10204,10209,10212,10218,10222,10226,10227,10229,10232,10238,10240,10241,10245,10246,10247,10249,10251,10255,10260,10261,10262,10263,10266,10276,10278,10288,10294,10295,10296,10302,10307,10309,10312,10317,10319,10324,10325,10329,10331,10332,10333,10335,10340,10342,10343,10344,10350,10358,10359,10360,10363,10371,10373,10375,10388,10394,10395,10396,10399,10402,10406,10415,10416,10417,10418,10419,10422,10425,10427,10431,10432,10433,10434,10435,10437,10441,10443,10444
010-03;10020,10023,10030,10031,10038,10054,10057,10081,10085,10106,10114,10124,10125,10134,10145,10146,10148,10153,10154,10157,10164,10169,10208,10211,10220,10223,10224,10225,10231,10237,10248,10254,10259,10265,10268,10271,10274,10275,10277,10280,10281,10282,10284,10290,10291,10298,10301,10308,10318,10321,10323,10334,10339,10341,10347,10348,10349,10351,10355,10362,10367,10370,10381,10382,10383,10410,10414,10420,10421
011-01;11001,11006,11012,11013,11022,11023,11025,11027,11037,11041,11042,11043,11048,11056,11064,11068,11071,11075,11077,11079,11081,11085,11088,11092,11095,11098,11099,11102,11110,11111,11122,11124,11125,11126,11132,11140,11146,11148,11151,11152,11154,11157,11164,11172,11174,11176,11180,11190,11194,11198,11200,11201,11203,11205,11210,11212,11215,11220,11221,11222,11223,11232,11233,11241,11248,11256,11257,11261,11267,11269,11272,11273,11279,11280,11286,11296,11297,11301,11305,11315,11318,11319,11324,11330,11332,11337,11342,11345,11351,11353,11360,11366,11368,11369,11372,11390,11391,11393,11395,11396,11397,11405,11410,11411,11413,11416,11422,11425,11426,11429,11431,11433,11436
011-03;11002,11003,11004,11005,11007,11008,11009,11010,11011,11015,11016,11017,11018,11019,11020,11021,11026,11028,11029,11030,11031,11032,11033,11034,11035,11036,11038,11039,11044,11045,11046,11047,11049,11050,11051,11052,11053,11054,11055,11057,11058,11059,11060,11061,11062,11063,11065,11066,11070,11072,11073,11074,11076,11078,11080,11082,11083,11084,11087,11089,11090,11091,11093,11094,11096,11097,11100,11101,11103,11104,11105,11107,11108,11109,11112,11113,11114,11115,11117,11118,11119,11120,11121,11123,11127,11128,11129,11130,11131,11133,11134,11135,11136,11137,11138,11139,11141,11142,11147,11149,11150,11153,11155,11156,11158,11159,11160,11161,11162,11163,11165,11166,11167,11168,11169,11171,11173,11175,11177,11178,11179,11181,11182,11183,11184,11185,11186,11187,11189,11191,11192,11193,11195,11196,11197,11199,11204,11206,11207,11208,11209,11211,11213,11214,11216,11218,11219,11224,11225,11226,11227,11228,11229,11230,11231,11234,11235,11236,11238,11239,11240,11242,11243,11244,11245,11246,11247,11249,11250,11251,11252,11253,11254,11259,11260,11263,11265,11268,11270,11271,11274,11275,11276,11277,11278,11281,11282,11283,11284,11287,11288,11289,11290,11291,11292,11293,11294,11298,11299,11300,11302,11303,11304,11306,11308,11309,11310,11311,11312,11313,11314,11316,11317,11320,11321,11323,11325,11326,11327,11328,11329,11331,11333,11334,11335,11336,11338,11339,11340,11341,11343,11344,11346,11347,11348,11350,11352,11354,11355,11356,11357,11358,11359,11361,11362,11363,11364,11365,11367,11371,11373,11374,11375,11376,11377,11378,11380,11381,11382,11383,11384,11385,11386,11387,11388,11389,11392,11394,11399,11400,11401,11402,11404,11406,11407,11408,11409,11412,11414,11415,11417,11418,11419,11420,11423,11424,11427,11428,11430,11432,11434,11435,11437,11438,11439,11440
013-01;
013-02;
013-03;
013-04;
013-05;
013-06;
013-07;
013-11;13019,13032,13071,13106
013-13;13039,13056,13077,13078,13098
013-14;13012,13025,13040,13048,13059,13072,13074,13079,13080,13087,13090,13095,13099,13109,13110,13111,13113
013-16;13004,13017,13038,13057,13061,13063,13094,13096,13097,13108
014-01;14026,14030,14098,14101,14109,14135,14137,14157,14205,14232,14271,14278,14311,14348,14380,14383,14423,14438,14454,14525,14543,14566,14568,14587,14610,14661,14684,14692,14734
014-02;14020,14036,14119,14134,14163,14181,14215,14221,14237,14242,14301,14327,14341,14344,14437,14637,14640,14651,14666,14698,14712,14761
017-04;17002,17005,17006,17015,17016,17020,17027,17033,17034,17038,17039,17044,17047,17050,17052,17054,17055,17056,17060,17061,17066,17068,17069,17074,17076,17077,17078,17081,17082,17084,17092,17095,17096,17098,17099,17104,17106,17108,17110,17111,17113,17115,17116,17118,17122,17129,17130,17131,17133,17145,17152,17156,17159,17160,17163,17167,17172,17173,17175,17178,17183,17187,17191,17192,17196,17197,17199,17204,17209,17210,17215,17220,17227,17229,17230,17231,17232,17233,17236,17238,17240,17241,17242,17243,17244,17248,17249,17250,17258,17259,17260,17263,17269,17270,17273,17276,17279,17281,17282,17283,17287,17295,17296,17298,17304,17305,17309,17310,17312,17316,17317,17319,17324,17325,17326,17328,17331,17332,17333,17335,17339,17341,17342,17343,17345,17354,17355,17357,17362,17363,17364,17365,17366,17371,17372,17378,17379,17386,17388,17390,17392,17398,17400,17402,17403,17404,17405,17410,17417,17418,17423,17424,17425,17430,17432,17433,17437,17438,17441,17442,17454,17458,17468,17469,17476,17479
017-05;17021,17030,17036,17045,17058,17064,17075,17079,17083,17093,17097,17112,17119,17120,17134,17140,17146,17151,17154,17155,17171,17174,17184,17185,17189,17214,17216,17219,17225,17228,17237,17246,17247,17253,17255,17265,17278,17280,17284,17285,17302,17307,17308,17311,17320,17323,17329,17330,17337,17346,17348,17351,17375,17380,17385,17387,17389,17393,17406,17408,17409,17411,17421,17429,17431,17445,17449,17452,17453,17455,17461,17484,17485,17486
018-01;18001,18003,18004,18011,18014,18015,18016,18019,18020,18022,18026,18030,18032,18035,18037,18039,18047,18051,18067,18070,18074,18079,18084,18088,18094,18097,18098,18109,18111,18115,18116,18117,18125,18144,18145,18146,18147,18149,18151,18156,18162,18163,18168,18170,18176,18179,18185,18189,18194,18200,18202,18206,18208,18211,18213,18223,18226,18227,18229,18233,18235,18241,18243,18246,18249,18253,18256,18257,18258,18259,18262,18264,18269,18271,18272,18274,18280,18284,18287
018-02;18005,18028,18036,18044,18050,18055,18064,18066,18085,18096,18100,18103,18124,18128,18133,18134,18137,18138,18140,18141,18148,18150,18157,18159,18165,18167,18181,18182,18186,18188,18190,18198,18205,18207,18210,18214,18219,18228,18237,18244,18255,18263,18279,18281,18285,18290
